,price,percent_pro,all_comment,pic_comment,vid_comment,add_comment,pro_comment,mid_comment,con_comment
656,138.0,0.98,500.0,0.0,0.0,3.0,90.0,0.0,1.0
657,39.9,0.98,200000.0,195.0,1.0,700.0,100000.0,1000.0,1000.0
658,58.0,0.96,400.0,0.0,0.0,1.0,73.0,3.0,0.0
659,99.0,1.0,20.0,0.0,0.0,0.0,5.0,0.0,0.0
660,99.0,0.9500000000000001,200.0,0.0,0.0,0.0,47.0,1.0,1.0
661,88.0,0.96,500.0,0.0,0.0,4.0,100.0,2.0,2.0
662,23.9,0.9500000000000001,1000.0,0.0,0.0,6.0,300.0,8.0,6.0
663,80.0,0.98,7000.0,170.0,0.0,18.0,6000.0,34.0,31.0
664,69.0,0.96,3000.0,0.0,0.0,9.0,700.0,7.0,16.0
665,179.0,1.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0
666,79.9,0.98,10000.0,0.0,0.0,28.0,3000.0,27.0,27.0
667,69.0,0.99,2000.0,21.0,0.0,4.0,1000.0,5.0,2.0
668,19.8,0.97,40000.0,0.0,0.0,100.0,8000.0,100.0,79.0
669,0.94,0.89,100.0,0.0,0.0,1.0,35.0,0.0,4.0
670,125.0,0.99,20000.0,17.0,0.0,55.0,10000.0,48.0,54.0
671,19.9,0.97,1000.0,13.0,0.0,1.0,600.0,14.0,5.0
672,69.0,1.0,100.0,0.0,0.0,0.0,13.0,0.0,0.0
673,18.9,0.97,1000.0,14.0,0.0,8.0,900.0,12.0,10.0
674,800.0,0.99,8000.0,0.0,0.0,28.0,4000.0,3.0,11.0
675,45.0,0.97,900.0,0.0,0.0,3.0,100.0,1.0,3.0
676,28.9,0.98,400.0,0.0,0.0,5.0,100.0,1.0,1.0
677,35.8,0.97,40000.0,0.0,0.0,100.0,8000.0,100.0,79.0
678,56.6,0.98,70000.0,0.0,0.0,200.0,20000.0,200.0,200.0
679,49.9,1.0,100.0,0.0,0.0,0.0,20.0,0.0,0.0
680,49.5,0.98,400000.0,5.0,0.0,1000.0,100000.0,1000.0,1000.0
681,178.0,1.0,100.0,0.0,0.0,0.0,18.0,0.0,0.0
682,38.0,0.9500000000000001,400.0,0.0,0.0,0.0,57.0,1.0,2.0
683,59.9,0.98,1000000.0,500.0,6.0,2000.0,600000.0,5000.0,4000.0
684,219.0,0.99,9000.0,0.0,0.0,100.0,6000.0,7.0,18.0
685,49.9,0.98,100000.0,500.0,0.0,300.0,50000.0,300.0,400.0
686,79.0,0.98,1000000.0,500.0,13.0,3000.0,900000.0,5000.0,5000.0
687,165.0,0.99,100000.0,500.0,1.0,200.0,70000.0,300.0,300.0
688,23.8,0.97,40000.0,0.0,0.0,100.0,8000.0,100.0,79.0
689,39.5,0.98,2000000.0,500.0,20.0,7000.0,1000000.0,7000.0,6000.0
690,109.0,0.97,900000.0,0.0,0.0,1000.0,100000.0,1000.0,2000.0
691,25.8,0.97,40000.0,0.0,0.0,100.0,8000.0,100.0,79.0
692,29.0,0.97,40000.0,0.0,0.0,100.0,8000.0,100.0,80.0
693,39.8,0.97,40000.0,0.0,0.0,100.0,8000.0,100.0,80.0
694,23.8,0.97,40000.0,0.0,0.0,100.0,8000.0,100.0,79.0
695,89.0,0.98,6000.0,0.0,0.0,16.0,1000.0,10.0,17.0
696,23.8,0.97,40000.0,0.0,0.0,100.0,8000.0,100.0,80.0
697,23.8,0.97,40000.0,0.0,0.0,100.0,8000.0,100.0,79.0
698,39.9,0.97,60000.0,500.0,1.0,300.0,40000.0,600.0,400.0
699,19.8,0.97,40000.0,0.0,0.0,100.0,8000.0,100.0,80.0
700,89.9,0.98,1000.0,0.0,0.0,5.0,400.0,4.0,2.0
701,339.0,0.98,4000.0,0.0,0.0,9.0,600.0,3.0,4.0
702,49.0,0.98,10000.0,0.0,0.0,200.0,8000.0,37.0,61.0
703,59.0,0.98,10000.0,0.0,0.0,200.0,8000.0,37.0,61.0
704,59.9,0.99,20000.0,249.0,0.0,100.0,20000.0,92.0,100.0
705,128.0,0.97,900.0,0.0,0.0,4.0,100.0,3.0,2.0
